geo,electricity_generation_total_2005,electricity_generation_total_2020,pct_change
are,60698000000.0,137310360000.0,126.21891989851395
arg,105750110000.0,144642790000.0,36.77790973456198
aus,230739550000.0,265162090000.0,14.918352748802707
aut,66832740000.0,72556310000.0,8.564021166871207
aze,22872000000.0,25839100000.0,12.972630290311299
bel,85676900000.0,89453600000.0,4.408072654356075
bgd,26486350000.0,84739460000.0,219.93634456993885
bgr,44364480000.0,40754440000.0,-8.13723050512482
blr,30961000000.0,38685000000.0,24.94751461516101
bra,403082780000.0,628763720000.0,55.988732637003245
can,620479800000.0,655881110000.0,5.705473409448623
che,59481850000.0,70189870000.0,18.00216368522499
chl,51898670000.0,83714290000.0,61.30334361169564
chn,2500260000000.0,7779060000000.0,211.13004247558257
col,55897110000.0,79354220000.0,41.96479925348556
cyp,4377000000.0,4849200000.0,10.788211103495545
cze,82578570000.0,81445890000.0,-1.3716391552917422
deu,622712880000.0,574665160000.0,-7.71587059512885
dnk,36241350000.0,28728660000.0,-20.729608582461744
dza,33915000000.0,79155300000.0,133.39318885448915
ecu,13404020000.0,31247990000.0,133.12401801847506
egy,104947320000.0,198610190000.0,89.24751008410696
esp,294077000000.0,263372950000.0,-10.440819921313125
est,10201000000.0,6079000000.0,-40.40780315655328
fin,70583570000.0,69267070000.0,-1.8651649385260622
fra,576062000000.0,524975150000.0,-8.868290218761175
gbr,398361130000.0,310296200000.0,-22.10680796090723
grc,60020140000.0,48251880000.0,-19.607185188171837
hkg,38448330000.0,35252600000.0,-8.311752422016768
hrv,13161500000.0,13385300000.0,1.700414086540288
hun,35756000000.0,34930000000.0,-2.3101018010963195
idn,127560800000.0,291829970000.0,128.77715567791986
ind,704509320000.0,1570975730000.0,122.98863697076428
irl,25983230000.0,32459800000.0,24.92596186078482
irn,177077000000.0,337219000000.0,90.43636384171857
irq,28343180000.0,116794080000.0,312.07119314064266
isl,8681110000.0,19127300000.0,120.33242292748278
isr,49833400000.0,72760300000.0,46.00709564268142
ita,303699900000.0,280531000000.0,-7.628879693407867
jpn,1153062000000.0,1011027910000.0,-12.317992440996234
kaz,67919730000.0,108628410000.0,59.936457344574244
kor,389479510000.0,577111900000.0,48.17516330961801
kwt,43734000000.0,74819350000.0,71.07822289294371
lka,8848220000.0,16916900000.0,91.1898664364132
ltu,14784300000.0,5517500000.0,-62.68000514058832
lux,4129120000.0,2234260000.0,-45.890165458983994
lva,4906000000.0,5724850000.0,16.690786791683653
mar,19723200000.0,38472010000.0,95.05967591465888
mex,247970750000.0,325726670000.0,31.35689189148317
mkd,6942000000.0,5347100000.0,-22.974647075770672
mys,98750000000.0,174004000000.0,76.20658227848102
nld,100768710000.0,123278130000.0,22.337707806322022
nor,138005000000.0,155196000000.0,12.456795043657838
nzl,42980840000.0,44534710000.0,3.6152620563022966
omn,12648000000.0,38322000000.0,202.988614800759
pak,88764220000.0,134830379999.99998,51.89721714447554
per,25509700000.0,52803000000.0,106.99185015895914
phl,56567740000.0,103282060000.0,82.58120264306122
pol,156936000000.0,158042740000.0,0.7052174134679106
prt,46575000000.0,53079000000.0,13.964573268921097
qat,14396000000.0,49259000000.0,242.17143651014172
rou,59413000000.0,55811940000.0,-6.06106407688553
rus,954100000000.0,1085418730000.0,13.763623309925585
sau,191054960000.0,380893980000.0,99.36356533219552
sgp,38212700000.0,53071590000.0,38.884690168451854
svk,31455000000.0,28838000000.0,-8.319821967890638
svn,15117000000.0,17190700000.0,13.717668849639479
swe,159060000000.0,163817000000.0,2.990695335093675
tha,130426310000.0,176483850000.0,35.31307448627505
tkm,12819000000.0,25762500000.0,100.97121460332319
tto,7058740000.0,9225640000.0,30.69811326100692
tur,161956200000.0,306703090000.0,89.37409620625823
twn,227512250000.0,279999550000.0,23.070098423271716
ukr,186055000000.0,147801400000.0,-20.560371933030556
usa,4322786630000.0,4287613830000.0,-0.8136603309518425
uzb,47627200000.0,66500699999.99999,39.627565760741746
ven,104360790000.0,76592820000.0,-26.60766558014749
vnm,52078000000.0,244005000000.0,368.5375782480126
zaf,244922000000.0,239459000000.0,-2.230506038657205
