geo,energy_use_2005,energy_use_2020,pct_change_energy,electricity_gen_2005,electricity_gen_2020,pct_change_electricity
are,9535.23423,8154.35294,-14.481881165073386,60698000000.0,137310360000.0,126.21891989851395
arg,1712.43204,1623.92451,-5.168528031045241,105750110000.0,144642790000.0,36.77790973456198
aus,5624.49561,5159.03638,-8.275572820653341,230739550000.0,265162090000.0,14.918352748802707
aut,4084.35262,3546.5045,-13.168503555895233,66832740000.0,72556310000.0,8.564021166871207
aze,1600.2278,1536.83056,-3.961763443929657,22872000000.0,25839100000.0,12.972630290311299
bel,5549.63761,4386.43051,-20.960055083668784,85676900000.0,89453600000.0,4.408072654356075
bgd,159.8256,272.07657,70.23341066762771,26486350000.0,84739460000.0,219.93634456993885
bgr,2599.19173,2664.55153,2.5146201892539946,44364480000.0,40754440000.0,-8.13723050512482
blr,2776.99847,2673.86549,-3.7138291977524878,30961000000.0,38685000000.0,24.94751461516101
bra,1173.71586,1379.2465,17.511106989727477,403082780000.0,628763720000.0,55.988732637003245
can,8369.9593,7495.07932,-10.452619285735363,620479800000.0,655881110000.0,5.705473409448623
che,3469.41664,2690.39023,-22.454103696234075,59481850000.0,70189870000.0,18.00216368522499
chl,1735.08874,1946.16761,12.165306887992372,51898670000.0,83714290000.0,61.30334361169564
chn,1369.79197,2465.96955,80.02511359443871,2500260000000.0,7779060000000.0,211.13004247558257
col,652.5629,810.0523,24.133980034721546,55897110000.0,79354220000.0,41.96479925348556
cyp,2161.54002,1638.57191,-24.19423675532966,4377000000.0,4849200000.0,10.788211103495545
cze,4431.36896,3764.47161,-15.049465662186698,82578570000.0,81445890000.0,-1.3716391552917422
deu,4109.88059,3349.19931,-18.508598080704818,622712880000.0,574665160000.0,-7.71587059512885
dnk,3484.59359,2637.04301,-24.322795703702138,36241350000.0,28728660000.0,-20.729608582461744
dza,979.32646,1373.67832,40.267661102509166,33915000000.0,79155300000.0,133.39318885448915
ecu,837.89142,785.4252,-6.261696772118758,13404020000.0,31247990000.0,133.12401801847506
egy,778.76964,805.25946,3.4014962370644044,104947320000.0,198610190000.0,89.24751008410696
esp,3239.54436,2303.51312,-28.893916427185452,294077000000.0,263372950000.0,-10.440819921313125
est,4015.42833,3368.23731,-16.11760855410412,10201000000.0,6079000000.0,-40.40780315655328
fin,6555.77647,5739.25445,-12.455000925313724,70583570000.0,69267070000.0,-1.8651649385260622
fra,4313.6963,3228.48916,-25.157244843592714,576062000000.0,524975150000.0,-8.868290218761175
gbr,3689.55052,2317.40854,-37.18994963104612,398361130000.0,310296200000.0,-22.10680796090723
grc,2758.67496,1839.48819,-33.319864910797605,60020140000.0,48251880000.0,-19.607185188171837
hkg,1864.70664,1655.13406,-11.238903509240467,38448330000.0,35252600000.0,-8.311752422016768
hrv,2260.50892,2104.84531,-6.88621967481553,13161500000.0,13385300000.0,1.700414086540288
hun,2781.00595,2713.17923,-2.43892753987096,35756000000.0,34930000000.0,-2.3101018010963195
idn,637.32976,848.43677,33.12367054693948,127560800000.0,291829970000.0,128.77715567791986
ind,425.36964,632.23983,48.63304066552563,704509320000.0,1570975730000.0,122.98863697076428
irl,3513.15702,2633.97691,-25.02535767672577,25983230000.0,32459800000.0,24.92596186078482
irn,2404.02751,3252.60547,35.29818009445325,177077000000.0,337219000000.0,90.43636384171857
irq,949.25348,1143.12626,20.42371021910818,28343180000.0,116794080000.0,312.07119314064266
isl,10877.23019,16083.60997,47.86494069773841,8681110000.0,19127300000.0,120.33242292748278
isr,2661.9801,2453.62703,-7.826995776564975,49833400000.0,72760300000.0,46.00709564268142
ita,3204.1352,2313.10006,-27.808912058392536,303699900000.0,280531000000.0,-7.628879693407867
jpn,4066.442,3046.85481,-25.073201339155954,1153062000000.0,1011027910000.0,-12.317992440996234
kaz,3186.46182,3388.38789,6.336999512518872,67919730000.0,108628410000.0,59.936457344574244
kor,4324.5093,5195.91011,20.150281790352494,389479510000.0,577111900000.0,48.17516330961801
kwt,12017.98103,8871.94072,-26.177777300086152,43734000000.0,74819350000.0,71.07822289294371
lka,445.25364,511.06636,14.780950471286422,8848220000.0,16916900000.0,91.1898664364132
ltu,2668.04972,2674.0684,0.2255835022444833,14784300000.0,5517500000.0,-62.68000514058832
lux,9429.92465,5435.81571,-42.355682449700176,4129120000.0,2234260000.0,-45.890165458983994
lva,2022.79777,2251.3825,11.300424263370642,4906000000.0,5724850000.0,16.690786791683653
mar,484.79791,575.6993,18.750367550058126,19723200000.0,38472010000.0,95.05967591465888
mex,1718.63669,1366.42723,-20.493537816884384,247970750000.0,325726670000.0,31.35689189148317
mkd,1453.50436,1388.54646,-4.46905436183211,6942000000.0,5347100000.0,-22.974647075770672
mys,2515.14873,2722.60317,8.24819771195002,98750000000.0,174004000000.0,76.20658227848102
nld,4893.73296,3975.37814,-18.765936505043797,100768710000.0,123278130000.0,22.337707806322022
nor,6319.92546,5145.72222,-18.579384320776477,138005000000.0,155196000000.0,12.456795043657838
nzl,4074.14859,3849.07797,-5.524359630682983,42980840000.0,44534710000.0,3.6152620563022966
omn,4030.08185,5696.1655,41.341186407913774,12648000000.0,38322000000.0,202.988614800759
pak,436.02171,454.25032,4.180665682908313,88764220000.0,134830379999.99998,51.89721714447554
per,525.12953,666.66636,26.95274630623039,25509700000.0,52803000000.0,106.99185015895914
phl,434.47009,518.15678,19.26178393546032,56567740000.0,103282060000.0,82.58120264306122
pol,2414.28237,2710.95606,12.288276370920114,156936000000.0,158042740000.0,0.7052174134679106
prt,2519.13902,1957.3055,-22.302600830659998,46575000000.0,53079000000.0,13.964573268921097
qat,20198.16891,14869.25011,-26.38317772143039,14396000000.0,49259000000.0,242.17143651014172
rou,1808.18762,1669.63823,-7.662334841115653,59413000000.0,55811940000.0,-6.06106407688553
rus,4541.20864,5044.85367,11.090550334194745,954100000000.0,1085418730000.0,13.763623309925585
sau,6447.0719,7170.88695,11.227035485675291,191054960000.0,380893980000.0,99.36356533219552
sgp,4925.75758,5538.12372,12.431917934540317,38212700000.0,53071590000.0,38.884690168451854
svk,3504.64376,3032.6427,-13.467875548069971,31455000000.0,28838000000.0,-8.319821967890638
svn,3763.90446,3068.8194,-18.46712814809333,15117000000.0,17190700000.0,13.717668849639479
swe,5711.64214,4284.99806,-24.977826779602825,159060000000.0,163817000000.0,2.990695335093675
tha,1508.58026,1884.35074,24.908882209555106,130426310000.0,176483850000.0,35.31307448627505
tkm,3554.43426,3395.8268,-4.4622420446735225,12819000000.0,25762500000.0,100.97121460332319
tto,12423.56831,10738.11726,-13.56656161855965,7058740000.0,9225640000.0,30.69811326100692
tur,1211.46562,1762.01062,45.44454179393057,161956200000.0,306703090000.0,89.37409620625823
ukr,2964.77702,1932.92182,-34.803804570773416,186055000000.0,147801400000.0,-20.560371933030556
usa,7843.39106,6141.53126,-21.69801029913202,4322786630000.0,4287613830000.0,-0.8136603309518425
uzb,1662.08973,1351.3752,-18.694209126723862,47627200000.0,66500699999.99999,39.627565760741746
ven,2371.58341,1104.64249,-53.42173143300914,104360790000.0,76592820000.0,-26.60766558014749
vnm,509.24513,991.28123,94.65698768685328,52078000000.0,244005000000.0,368.5375782480126
zaf,2374.4355,2037.46194,-14.191733572042708,244922000000.0,239459000000.0,-2.230506038657205
